ORGÃO SUPERIOR CONTRATANTE;FORMA DE CONTRATAÇÃO;GRUPO DE OBJETO DE CONTRATAÇÃO;NOME DO FORNECEDOR;CPF / CNPJ DO FORNECEDOR;UF DO FORNECEDOR;VALOR CONTRATADO;CNAE PRINCIPAL;DESCRIÇÃO DA ATIVIDADE
MINISTERIO DA ECONOMIA;Inexigibilidade de Licitação;Serviços;EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS;34.028.316/0016-90;MT;R$ 1.350.000,00;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;ERICA E.G. LIMA SERVICOS DE MAO DE OBRA EIRELI;19.362.299/0001-52;PA;R$ 1.347.658,92;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;SERVEBEM CONSERVACAO E LIMPEZA DE PREDIOS EIRELI;15.309.324/0001-83;PB;R$ 1.299.535,44;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;MIRANDA TURISMO E REPRESENTACOES LTDA;24.929.614/0001-10;DF;R$ 1.298.807,30;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;ESTUFAS E GALPOES FARDIN EIRELI;02.347.663/0001-02;ES;R$ 1.194.716,10;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;SUDESTE CONSTRUCOES E SERVICOS GERAIS EIRELI;22.652.918/0001-58;ES;R$ 1.178.899,03;;
MINISTERIO DA ECONOMIA;Inexigibilidade de Licitação;Serviços;FUNDACAO GETULIO VARGAS;33.641.663/0001-44;RJ;R$ 1.164.800,00;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;FEICON SEGURANCA LTDA;12.355.254/0001-01;PE;R$ 1.121.740,44;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;MIRANDA TURISMO E REPRESENTACOES LTDA;24.929.614/0001-10;DF;R$ 1.105.041,80;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Bens patrimoniais, Materiais;RFMOBI SOLUTIONS LTDA;20.530.773/0001-97;SP;R$ 1.071.500,00;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;PARAIBA SERVICOS DE LIMPEZA E CONSERVACAO EIRELI;19.069.415/0001-40;PB;R$ 1.042.785,72;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;INSTITUTO INTERAMERICANO DE DESENVOLVIMENTO HUMANO - BEM BRASIL;10.427.965/0001-19;SP;R$ 1.034.479,24;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;VIGILANCIA URBANA EIRELI;02.116.723/0001-86;PR;R$ 1.028.990,41;;
MINISTERIO DA ECONOMIA;Inexigibilidade de Licitação;Serviços;CENTRO DE ENSINO UNIFICADO DE BRASILIA CEUB;00.059.857/0001-87;DF;R$ 1.026.885,60;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;OBSERVES SERVICOS EIRELI;26.412.260/0001-68;SC;R$ 1.019.999,85;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;PLANSUL PLANEJAMENTO E CONSULTORIA EIRELI;78.533.312/0001-58;SC;R$ 980.093,40;;
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Serviços;PROTEMAXI SEGURANCA PATRIMONIAL ARMADA EIRELI;04.808.914/0001-34;CE;R$ 971.695,91;;
MINISTERIO DA ECONOMIA;Inexigibilidade de Licitação;Serviços;AGENCIA ESTADO S.A;62.652.961/0001-38;SP;R$ 954.729,36;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;ORBENK ADMINISTRACAO E SERVICOS LTDA.;79.283.065/0001-41;SC;R$ 923.770,80;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;PLATAFORMA TERCEIRIZACAO DE SERVICOS EIRELI;02.738.552/0001-27;SP;R$ 905.439,00;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;PROSPERUS SEGURANCA EIRELI;23.784.111/0001-31;SP;R$ 903.305,00;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;ALLTECH - SOLUCOES EM TECNOLOGIA LTDA;21.547.011/0001-66;DF;R$ 875.720,00;;
MINISTERIO DA ECONOMIA;Sem Informação;Outros;S I SISTEMAS INTELIGENTES ELETRONICOS LTDA;82.027.129/0001-58;PR;R$ 858.854,20;;
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Serviços;SETTA - SERVICOS TERCEIRIZADOS LTDA;11.301.568/0001-69;PR;R$ 843.880,28;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;RABELO COMERCIO DE AUTO PECAS - EIRELI;11.210.857/0001-52;DF;R$ 840.000,00;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;SOBERANA TERCEIRIZACAO DE SERVICOS EIRELI;02.891.176/0001-06;PR;R$ 838.999,90;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;PLANSUL PLANEJAMENTO E CONSULTORIA EIRELI;78.533.312/0001-58;SC;R$ 833.309,10;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;D. G. DA SILVA INFORMATICA - EIRELI;18.276.815/0001-63;PA;R$ 811.476,97;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;FLEX ASSESSORIA E ZELADORIA LTDA;00.952.800/0001-02;RJ;R$ 744.998,40;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;SETTA - SERVICOS TERCEIRIZADOS LTDA;11.301.568/0001-69;PR;R$ 700.000,00;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Outros;PLANSUL PLANEJAMENTO E CONSULTORIA EIRELI;78.533.312/0001-58;SC;R$ 694.164,30;;
MINISTERIO DA ECONOMIA;Sem Informação;Outros;LIVETECH DA BAHIA INDUSTRIA E COMERCIO S.A;05.917.486/0001-40;BA;R$ 675.723,60;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;OFFICE COMERCIO E SERVICOS EIRELI;19.234.161/0001-78;PA;R$ 660.000,00;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;M.R. CONSTRUTORA EIRELI;04.272.538/0001-06;SP;R$ 651.267,00;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;ORBENK ADMINISTRACAO E SERVICOS LTDA.;79.283.065/0001-41;SC;R$ 642.999,96;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;PRIME CONSULTORIA E ASSESSORIA EMPRESARIAL LTDA;05.340.639/0001-30;SP;R$ 615.732,41;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;ARES APOIO EMPRESARIAL EIRELI;17.135.565/0001-89;RJ;R$ 613.301,88;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;KHRONOS SERVICOS ESPECIALIZADOS LTDA;02.220.017/0001-80;SC;R$ 585.976,35;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;VENCER TERCEIRIZACAO DE SERVICOS LTDA;08.800.447/0001-57;PR;R$ 584.836,57;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;TEIXEIRA & CALADO SEGURANCA LTDA;14.071.312/0001-09;SP;R$ 584.179,20;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;NORSEG VIGILANCIA E SEGURANCA EIRELI;12.557.363/0001-01;PA;R$ 576.597,72;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;PGE - PROJETOS, GERENCIAMENTOS E EMPREENDIMENTOS LTDA;06.303.138/0001-46;PR;R$ 558.498,68;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;INOVACAO COMERCIO E SERVICOS EIRELI;15.277.274/0001-08;SP;R$ 551.723,51;;
MINISTERIO DA ECONOMIA;Inexigibilidade de Licitação;Serviços;EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS;34.028.316/0002-94;RJ;R$ 550.000,00;;
MINISTERIO DA ECONOMIA;Inexigibilidade de Licitação;Serviços;ENE TREINAMENTOS, CURSOS E EVENTOS EIRELI;05.025.586/0001-62;DF;R$ 549.600,00;;
MINISTERIO DA ECONOMIA;Tomada de Preços;Obras;L&S ENGENHARIA LTDA;14.868.122/0001-09;DF;R$ 549.282,80;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;SEHIC SERVICO EMPRESARIAL EIRELI;07.767.949/0001-60;PE;R$ 548.195,52;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;SOLUMAR SERVICOS TERCEIRIZADOS E FACILITIES LTDA;12.569.038/0001-69;SP;R$ 539.478,61;;
MINISTERIO DA ECONOMIA;Pregão;Obras;ELETRIWATTS ENGENHARIA EIRELI;26.742.605/0001-41;GO;R$ 533.899,84;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;GAMA CONSERVACAO E MANUTENCAO PREDIAL LTDA;19.609.199/0001-88;CE;R$ 531.987,03;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;ORBENK ADMINISTRACAO E SERVICOS LTDA.;79.283.065/0001-41;SC;R$ 529.300,56;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;D. G. DA SILVA INFORMATICA - EIRELI;18.276.815/0001-63;PA;R$ 517.448,54;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;JR COMERCIOS E VIDROS LTDA;12.500.834/0001-45;DF;R$ 516.147,44;;
MINISTERIO DA ECONOMIA;Pregão;Materiais, Serviços;LINK CARD ADMINISTRADORA DE BENEFICIOS EIRELI;12.039.966/0001-11;SP;R$ 512.522,28;;
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Serviços;ISALINO ROMUALDO DA SILVA LISBOA;***.034.966-**;MG;R$ 510.000,00;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;NORTE SERVICOS DE MAO DE OBRA EIRELI;14.991.257/0001-67;PA;R$ 506.476,80;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;SETE BAHIA TERCEIRIZACAO EIRELI;13.515.708/0001-27;PR;R$ 500.992,68;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Outros;SIMPRESS COMERCIO LOCACAO E SERVICOS LTDA;07.432.517/0001-07;SP;R$ 498.025,76;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;EFICIENCIA SERVICOS ADMINISTRATIVOS LTDA;14.690.263/0001-84;MG;R$ 497.899,91;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;CAMARGO SEGURANCA PRIVADA EIRELI;12.498.008/0001-09;RS;R$ 482.399,76;;
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Serviços;FLAVIO LUIS GOMES;***.900.006-**;MG;R$ 474.000,00;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;STA. FE ENGENHARIA E SERVICOS LTDA;11.949.783/0001-70;PE;R$ 456.473,44;;
MINISTERIO DA ECONOMIA;Pregão;Materiais, Serviços;TRIVALE ADMINISTRACAO LTDA;00.604.122/0001-97;MG;R$ 455.044,37;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;INDUSTEC COMERCIAL E SERVICOS EIRELI;10.213.136/0001-33;RJ;R$ 446.240,98;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;ELETROCONTROLE ENGENHARIA COMERCIO E REPRESENTACAO LTDA;00.899.223/0001-32;DF;R$ 435.125,84;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;PLATAFORMA TERCEIRIZACAO DE SERVICOS EIRELI;02.738.552/0001-27;SP;R$ 434.082,02;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;PRIME CONSULTORIA E ASSESSORIA EMPRESARIAL LTDA;05.340.639/0001-30;SP;R$ 430.920,54;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;MEZI EMPRESARIAL LTDA;10.952.790/0001-69;AM;R$ 427.999,80;;
MINISTERIO DA ECONOMIA;Pregão;Bens patrimoniais;CIMCORP COMERCIO E SERVICOS DE TECNOLOGIA DE INFORMATICA LTDA.;04.352.711/0001-86;MG;R$ 416.586,00;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;PERES SERVICOS DE SEGURANCA LTDA;07.917.508/0001-06;CE;R$ 413.398,19;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;SETOPAR - SERVICOS TERCEIRIZADOS DO OESTE DO PARANA LTDA;03.637.701/0001-24;PR;R$ 411.764,47;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Bens patrimoniais, Materiais;RFMOBI SOLUTIONS LTDA;20.530.773/0001-97;SP;R$ 409.500,00;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;PRIME CONSULTORIA E ASSESSORIA EMPRESARIAL LTDA;05.340.639/0001-30;SP;R$ 405.392,79;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Bens patrimoniais;EUROLINE COMERCIO DE MOVEIS EIRELI;13.622.580/0001-09;RS;R$ 403.366,70;;
MINISTERIO DA ECONOMIA;Inexigibilidade de Licitação;Serviços;EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS;34.028.316/0021-57;PE;R$ 401.605,41;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;D'URSO & D'URSO LTDA;05.973.389/0001-75;MS;R$ 401.293,26;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;ELIMAR PRESTADORA DE SERVICOS EM GERAL EIRELI;01.182.827/0001-26;AL;R$ 395.114,97;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Bens patrimoniais;EUROLINE COMERCIO DE MOVEIS EIRELI;13.622.580/0001-09;RS;R$ 388.509,50;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;NAFSEG SEGURANCA E VIGILANCIA PATRIMONIAL EIRELI;10.369.790/0001-30;BA;R$ 384.888,88;;
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Serviços;CENTRO BRASILEIRO DE PESQUISA EM  AVALIACAO E SELECAO E DE PROMOCAO DE EVENTOS - CEBRASPE;18.284.407/0001-53;DF;R$ 380.000,00;;
MINISTERIO DA ECONOMIA;Inexigibilidade de Licitação;Serviços;ENE TREINAMENTOS, CURSOS E EVENTOS EIRELI;05.025.586/0001-62;DF;R$ 376.825,00;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;KARISTEN COMERCIO E SERVICOS MECANICOS E ELETRICOS LTDA;05.970.357/0001-16;ES;R$ 370.910,94;;
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Serviços;CONSELHO CULTURAL THOMAS JEFFERSON;00.114.090/0001-41;DF;R$ 351.931,20;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;ENGELINK LTDA.;12.139.246/0001-28;PR;R$ 341.889,94;;
MINISTERIO DA ECONOMIA;Pregão;Outros;HSC DESENVOLVIMENTO E SERVICOS EM TECNOLOGIA DA INFORMACAO LTDA;13.103.980/0001-08;RS;R$ 339.999,92;;
MINISTERIO DA ECONOMIA;Inexigibilidade de Licitação;Serviços;ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S.A.;61.695.227/0001-93;SP;R$ 339.580,00;;
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Serviços;P H DOS REIS NICOMEDES ENGENHARIA;28.749.288/0001-10;SP;R$ 336.543,76;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;GED PRESTADORA DE SERVICOS GERAIS LTDA;13.697.422/0001-00;MS;R$ 331.700,00;;
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Serviços;EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS;34.028.316/0016-90;MT;R$ 330.000,00;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;ORBENK ADMINISTRACAO E SERVICOS LTDA.;79.283.065/0001-41;SC;R$ 327.400,00;;
MINISTERIO DA ECONOMIA;Pregão;Materiais, Serviços;ITACOL - COMERCIO E SERVICOS DE MATERIAIS DE CONSTRUCAO LTDA;01.426.994/0001-75;AM;R$ 320.099,82;;
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Serviços;TEIXEIRA & CALADO SEGURANCA LTDA;14.071.312/0001-09;SP;R$ 319.616,00;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;A.C. SIMOES NETO;22.102.657/0001-00;RR;R$ 317.558,61;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;NORTH SERVICOS DE SEGURANCA EIRELI;86.960.598/0001-86;CE;R$ 313.984,80;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;E. R. P. DE OLIVEIRA COMERCIO DE INFORMATICA E SERVICO DE APOIO ADMINISTRATIVO LTDA;10.927.661/0001-10;RO;R$ 311.124,00;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;H L DOS SANTOS EIRELI;01.219.144/0001-04;RN;R$ 309.409,90;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;ORBENK ADMINISTRACAO E SERVICOS LTDA.;79.283.065/0001-41;SC;R$ 308.840,00;;
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Serviços;ACOFORTE SEGURANCA E VIGILANCIA EIRELI;07.447.264/0001-37;SP;R$ 306.345,00;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;P S GERENCIAL DE NEGOCIOS LTDA;17.360.593/0001-08;PR;R$ 302.122,68;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;PRIME CONSULTORIA E ASSESSORIA EMPRESARIAL LTDA;05.340.639/0001-30;SP;R$ 300.346,06;;
MINISTERIO DA ECONOMIA;Inexigibilidade de Licitação;Serviços;EMPRESA BRASIL DE COMUNICACAO S.A. - EBC;09.168.704/0001-42;DF;R$ 300.000,00;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;OPEN SERVICOS E TERCEIRIZACAO DE MAO DE OBRA LTDA;18.296.524/0001-37;PB;R$ 297.299,84;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;GRADI VIGILANCIA E SEGURANCA LTDA;10.599.807/0001-46;MS;R$ 295.128,42;;
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Serviços;CEMAX ADMINISTRACAO E SERVICOS LTDA;10.243.854/0001-52;RJ;R$ 295.003,08;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;JW NEVES LIMPEZA E PORTARIA LTDA.;17.101.290/0001-62;SP;R$ 291.208,32;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;VIGISOL VIGILANCIA PATRIMONIAL EIRELI;79.929.774/0001-51;SC;R$ 291.000,00;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;NASCIMENTO SERVICOS DE LIMPEZA LTDA;03.644.009/0001-23;RS;R$ 288.234,96;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Bens patrimoniais, Materiais, Serviços;PRODUTIVIDADE SERVICOS ESPECIALIZADOS DE INSTALACOES LTDA;30.283.748/0001-00;SP;R$ 287.608,76;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;MANUTECNICA MANUTENCAO LTDA;03.758.809/0001-75;BA;R$ 282.960,00;;
MINISTERIO DA ECONOMIA;Sem Informação;Outros;TECNO2000 INDUSTRIA E COMERCIO LTDA;21.306.287/0001-52;MG;R$ 282.210,00;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;SETTA - SERVICOS TERCEIRIZADOS LTDA;11.301.568/0001-69;PR;R$ 281.066,04;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;ORBENK ADMINISTRACAO E SERVICOS LTDA.;79.283.065/0001-41;SC;R$ 270.247,68;;
MINISTERIO DA ECONOMIA;Pregão;Materiais, Serviços;PRIME CONSULTORIA E ASSESSORIA EMPRESARIAL LTDA;05.340.639/0001-30;SP;R$ 269.764,12;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Outros;SIMPRESS COMERCIO LOCACAO E SERVICOS LTDA;07.432.517/0001-07;SP;R$ 268.193,79;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;TEIXEIRA & CALADO SEGURANCA LTDA;14.071.312/0001-09;SP;R$ 265.429,92;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;LCC MOVEIS EIRELI;09.027.395/0001-90;SP;R$ 263.115,00;;
